LOCAL_DATE,TOTAL,UPSTREAM,DOWNSTREAM,NET,PEAK_TIME,RATE,STATION
7/2/2021,14,-4,?,?,360,19.3,10
7/3/2021,14,0,?,?,360,20.4,10
7/4/2021,56,0,?,?,120,20.4,10
7/5/2021,47,1,?,?,480,20.4,10
7/6/2021,5,-1,?,?,600,20.4,10
7/7/2021,34,-4,?,?,660,20.4,10
7/8/2021,16,2,?,?,60,20.4,10
7/9/2021,1,-1,?,?,540,18,10
7/10/2021,3,-1,?,?,420,16.4,10
7/11/2021,3,-1,?,?,540,18.6,10
7/12/2021,3,-3,?,?,120,20.4,10
7/13/2021,0,0,?,?,?,20.9,10
7/14/2021,0,0,?,?,?,20.9,10
7/15/2021,1,1,?,?,720,20.9,10
7/16/2021,1,-1,?,?,120,20.9,10
7/17/2021,7,-1,?,?,?,20.9,10
7/18/2021,0,0,?,?,?,20.9,10
7/19/2021,0,0,?,?,?,20.9,10
7/20/2021,0,0,?,?,?,20.9,10
7/21/2021,3,-1,?,?,480,20.9,10
7/22/2021,46,12,?,?,720,20.9,10
7/23/2021,13,3,?,?,360,20.9,10
7/24/2021,7,-5,?,?,720,20.9,10
7/25/2021,6,2,?,?,360,20.9,10
7/26/2021,4,0,?,?,660,20.9,10
9/1/2021,220,62,?,?,960,21.7,10
9/2/2021,127,37,?,?,720,18.8,10
9/3/2021,286,24,?,?,900,18.7,10
9/4/2021,53,15,?,?,1080,18.7,10
9/5/2021,84,26,?,?,720,19.5,10
9/6/2021,63,1,?,?,900,19.8,10
9/7/2021,135,29,?,?,720,18.9,10
9/8/2021,18,0,?,?,900,18.8,10
9/9/2021,79,-35,?,?,1080,18,10
9/10/2021,100,-24,?,?,780,16.9,10
9/11/2021,37,9,?,?,900,16.4,10
9/12/2021,115,15,?,?,600,18.1,10
9/13/2021,393,143,?,?,900,17.8,10
9/14/2021,95,47,?,?,780,17.7,10
9/15/2021,95,5,?,?,840,18.4,10
9/16/2021,208,26,?,?,540,16.8,10
9/17/2021,58,10,?,?,960,17.1,10
10/1/2021,125,49,?,?,960,16.4,10
10/2/2021,93,35,?,?,960,15.8,10
10/3/2021,289,31,?,?,960,15.4,10
10/3/2021,36,16,?,?,960,16.6,10
10/5/2021,94,18,?,?,660,16.2,10
10/6/2021,203,11,?,?,1020,15.7,10
10/7/2021,34,8,?,?,900,16.2,10
10/8/2021,110,4,?,?,900,16.1,10
10/9/2021,88,26,?,?,840,16.6,10
10/10/2021,73,19,?,?,840,16.7,10
10/11/2021,23,11,?,?,600,16.4,10
10/12/2021,38,18,?,?,?,17.1,10
10/13/2021,47,13,?,?,?,17.7,10
10/14/2021,9,3,?,?,960,16.9,10
10/15/2021,37,1,?,?,900,16.9,10
10/16/2021,92,-10,?,?,?,16.3,10
10/17/2021,23,15,?,?,960,13.9,10
